County,Organisation,Project Title,Allocation
Clare,Clondegad GAA Club,Upgrade Club House Facilities at Clondegad GAC,"€59,500"
Clare,Clonlara GAA Club,Clonlara GAA Community Facilities Development Plan,"€54,000"
Clare,Clooney Quinn GAA Club,Essential Field drainage & ancillary work.,"€26,500"
Clare,CORBALLY UNITED,Clubhouse Roof Refurbishment,"€12,500"
Clare,Corofin Camogie Club,Provision of equipment for a small Camogie Club,"€1,200"
Clare,Crusheen G.A.A. Club,Artificial Surface and fencing,"€8,500"
Clare,Eire Og Inis,All weather and indoor gym facilities at Eire Og,"€53,000"
Clare,Ennis Boxing Club,To purchase Sports Equipment,"€2,500"
Clare,Ennis Sub Aqua club,Ennis Sub Aqua 2017 Diving Boat application,"€7,500"
Clare,"Ennistymon Parish Project Community
Centre Ltd.",Ennistymon Parish Project Community Centre,"€26,000"
Clare,Fern Celtic,"Erection of sports fencing , netting and dugouts","€8,500"
Clare,GoTri Racing Triathlon Club,GoTri Application: Safety and Training Gear 2017,"€11,500"
Clare,Inagh Kilnamona Hurling Club,Artificial playing surface development,"€50,000"
Clare,Kilkee Sub Aqua Club,Provision of an air bank system for club members,"€7,985"
Clare,Killaloe Sailing Club,Sail Training Dinghies for Children and Teenagers,"€6,000"
Clare,Killanena Flagmount Community Games,Killanena Flagmount Community Games,€800
Clare,Killanena GAA Club,Upgrade of Killanena GAA facilities,"€21,000"
Clare,Kilmaley Camogie Club,Kilmaley Camogie Club Equipment 2017,"€2,000"
Clare,Kilmaley GAA Club,Construction of clubhouse,"€64,000"
Clare,"Kilmurry Ibrickane Community Centre
Committee Ltd","Mullagh Sports Field Improvement Work, Clare","€85,000"
Clare,Kilmurry Ibrickane GAA,Upgrade/Regeneration of Existing GAA Pitch,"€85,000"
Clare,Kilrush Rugby Club,Kilrush RFC Pitch Development,"€15,500"
Clare,Lahinch Swim Club,Upgrade of Facilities and Training Equipment,"€7,000"
Clare,Limerick & Clare Education & Training Board,Burren OEC Toilet Refurbishment,"€26,500"
Clare,Lough Derg Football Club,Development of an Underage Training Pitch,"€21,500"
Clare,Mountshannon Celtic Football Club,Development of pitch,"€6,000"
Clare,Muintir Na Tire Dysart Branch,Replace Hand Ball FloorHeators & Defibrillator,"€4,000"
Clare,"Newmarket-on-Fergus Community Centre
Ltd",Squash court & Sports hall refurbishment,"€10,400"
Clare,Newmarket-on-fergus GAA Club,Cora Chaitlin GAA Renovation Project,"€31,500"
Clare,Parkville FC,Erection of Fencing & Provision of Dressing Rooms,"€8,500"
Clare,Parteen Pitch and Putt Club,Course Machinery,"€13,500"
Clare,Ruan GAA Club,Upgrade of Local GAA Grounds,"€21,500"
Clare,Scariff-Ogonnelloe Camogie Club,Training and Fitness Equipment,"€2,600"
Clare,Sixmilebridge Camogie Club,Equipment for coaching camogie,€850
Clare,Sixmilebridge GAA Club,Sixmilebridge Gaa Arena (Indoor Astro ),"€71,000"
Clare,Smith O Brien gaa club,SMITH O BRIENS GAA CLUHOUSE/COMMUNITY CENTRE,"€79,000"
Clare,SPANISH POINT GOLF CLUB,"CHANGING ROOM,PRACTICE AREA AND EQUIPMENT","€3,500"
Clare,St Cronans AC,St Cronans AC,"€2,250"
Clare,St Flannans (Killaloe) Diocesan Trust,The Hollow Playing Area Upgrade,"€21,500"
Clare,St Flannans (Killaloe) Diocesan Trust,Sports Hall,"€40,000"
Clare,St Josephs Miltown Malbay GAA Club,Development of a Walking/Running/Exercise track,"€31,500"
Clare,St Pats Soccer Club Limited,Main Pitch Drainage,"€19,500"
Clare,Tubber Gaa,Tubber GAA Pitch & Walking Track Development 2017,"€52,600"
Clare,Tulla Athletic Club,Tulla AC Walking/jogging track,"€7,500"
Clare,West Clare Baseball Club,Pitch drainage,"€5,500"
Clare,West Clare Sports & Fitness Club,Building with 4 sprint lanes,"€48,000"
Clare,Whitegate GAA Club,Upgrade the playing surface of our practice pitch,"€28,000"
Clare,WOLFE TONES CAMOGIE CLUB,MAIN PITCH DEVELOPMENT,"€2,400"
Clare,Wolfe Tones na Sionna,Resurface Existing Artificial Playing Pitches,"€55,000"
Cork,102nd Kilbrittain Cork,Addition of toilets onto our clubhouse.,"€16,000"
Cork,25th Cork Cobh Scouts,25th Cork Scouts - Outdoor Equipment Investment,"€1,500"
Cork,45th/62nd Blarney Scout Unit,Purchase of equipment for the Scout Unit,"€5,500"
Cork,Active Connections ltd,Connect,"€5,000"
Cork,Aghinagh GAA Club,Replacement of roadside and pitchside fencing,"€17,000"
Cork,Ardfield Rathbarry Galleyflash Rowing Club,Expansion 2017,"€2,000"
Cork,Argideen Vale Lawn Tennis & Croquet Club,Refurbishment of existing clubhouse,"€55,000"
Cork,Avondale United FC,Grant Funding for Essential Works at Avondale Park,"€13,500"
Cork,Ballinascarthy GAA Club,Ballinascarthy GAA Grounds Improvement Scheme,"€30,000"
Cork,Ballincollig AFC,Equipment Application Ballincollig AFC,"€8,000"
Cork,Ballincollig RFC,Installation of floodlighting,"€91,500"
Cork,Ballindenisk Polo Club,Purchase of Mower and grass harrow/roller/seeder,"€9,000"
Cork,Ballinhassig GAA Club,Sand Based Training Facility,"€22,500"
Cork,Ballinlough Pitch & Putt Club,New Mower,"€3,500"
Cork,Ballyclough GAA,Supply and install indoor gym equipment,"€14,500"
Cork,Ballydesmond GAA club,Ballydesmond GAA - Refurbishment of Dressing Rooms,"€18,000"
Cork,Bandon Golf Club,Development of artificial surface facility,"€41,000"
Cork,Bandon Rugby Club,Bandon RFC Floodlight and Pitch Development,"€59,500"
Cork,Banteer Community Sportsfield Ltd,Security fencing on pitches and sanding programme,"€50,000"
Cork,Bantry Amateur Boxing Club,Replacement of old & damaged equipment & new defib,"€12,000"
Cork,Bantry Bay Sailing Club,Bantry Bay Sailing Club,"€23,000"
Cork,"Bantry Park Golf Club Company Limited by
Guarantee",Replace 20 year old Machinery enabling survival,"€38,000"
Cork,Bantry Rowing Club,Bantry Rowing Club,"€16,500"
Cork,Bere Island Projects Group Ltd,Bringing Sailing back to Bere Island,"€11,000"
Cork,Blackrock National Hurling Club,Artificial pitch development with floodlighting,"€86,500"
Cork,Blackrock Rowing Club,"Purchase of boat,trailer,oars and rowing machines.","€6,500"
Cork,Blackwater Sub Aqua Search & Rescue Club,Blackwater Sub-Aqua Search & Recovery River Boat,"€7,500"
Cork,Blackwater Triathlon Club,Application for funding for sports equipment,"€3,000"
Cork,"Boherbue Community Sports Centre
Company Ltd.",Handball Court Essential Repairs & Refurbishment,"€18,000"
Cork,Brian Dillons Boxing Club,sports equiment,"€4,500"
Cork,Buttevant AFC,upgrade existing lighting and pitch mower.,"€47,000"
Cork,Carbery Rangers GAA Club,Drainage work and lights upgrade to Newtown Pitch,"€57,600"
Cork,Carraig na bhFear GAA Club,Reconstruction of main GAA pitch,"€84,000"
Cork,Carrigaline United AFC,Converting of natural grass pitch to all-weather,"€116,000"
Cork,Carrigtwohill GAA Club,Carrigtwohill GAA Dressing Room Complex,"€106,500"
Cork,Casement Celtic F.C.,The Re-development of Casement Park,"€58,500"
Cork,Castlelack FC,"Goalposts, equipment and storage","€1,500"
Cork,Castlelyons Camogie Club,Up-date equipment for ‘Castlelyons Camogie Club,"€13,000"
Cork,Castlemagner GAA Field Development,Tarmac Walkway/Jogging Path circling club grounds,"€27,000"
Cork,Castletownbere Rowing Club,yawl boat trailer oars safety gear rowing machines,"€12,500"
Cork,Castletownroche G.A.A. Club,Pitch Redevelopment,"€59,000"
Cork,Charleville Boxing Club,Replace Worn Out Equipment/ Purchase New Equipment,"€2,000"
Cork,Charleville Golf Club,Improved drainage of golf course,"€46,000"
Cork,Circus Factory CLG,Equipment to upgrade safety and training space.,"€5,000"
Cork,Clonakilty GAA Club,Upgrade of facilities at Clonakilty GAA Club,"€40,500"
Cork,Cloughduv Hurling Club,Generator for pitch flood Lighting,"€10,000"
Cork,CoAction West Cork,"pool hoist, indoor and outdoor gym equipment","€7,000"
Cork,Cobh Golf Club,All weather Coaching Academy,"€56,500"
Cork,College Corinthians AFC Limited,Astroturf Expansion for College Corinthians AFC,"€58,500"
Cork,Cork Acro Gymnastics Club,Replacement and upgrade of gymnastics equipment,"€23,000"
Cork,Cork Admirals American Football Club,Cork Admirals American Football Club Application,"€6,500"
Cork,Cork Boat Club,Phased development of Cork Boat Club facilities.,"€32,500"
Cork,Cork City Archery Club,Club Equipment,"€7,500"
Cork,Cork City Council,Clashduv Park pitch,"€33,500"
Cork,Cork City Council,Cork Outdoor Gyms,"€18,000"
Cork,Cork City Council,Leisureworld Bishopstown Changing Rooms Upgrade,"€67,500"
Cork,Cork Colleges Camogie Council,Camogie Pitch surface drainage,"€39,000"
Cork,Cork County Council,Bathview Amenity Area,"€69,000"
Cork,Cork County Council,Gymnasium at Dunmanway Swimming Pool Complex,"€115,000"
Cork,Cork Education and Training Board,Carrignafoy CC & Ballymore-Cobh Athletic Club,"€84,500"
Cork,Cork Local Sports Partnership Ltd,Cork SportsAbility Programme,"€12,500"
Cork,Cork Sub Aqua Club,Mobile Air/Nitrox Compressor,"€14,000"
Cork,"Courcey Rovers Ladies Football & Camogie
Club",Equipment Grant - Womens Gaelic Games Club,"€4,000"
Cork,Cove Sailing Club,Cove Sailing Club - Sailing Training Dinghies,"€6,500"
Cork,Crosshaven AFC,Crosshaven AFC - Artificial playing surface,"€125,000"
Cork,Crosshaven GAA Club,"Hurling Wall area, dug outs and scoreboard..","€35,000"
Cork,Crosshaven Rugby Football Club,Flood Lighting of main pitch at Crosshaven RFC,"€80,000"
Cork,Delanys Rovers Football & Hurling Club,Delany Rovers GAA Club Refurbishment Project,"€24,000"
Cork,Donoughmore Community Centre Ltd,Refurbishment of Sports Complex / Pitch machinery,"€38,500"
Cork,Donoughmore Hurling & Football Club,Pitch drainage and surface improvement.,"€13,500"
Cork,Douglas Gymnastics Club,Douglas Gymnastics Club - New Equipment 2017,"€14,000"
Cork,Dromahane Tennis Club,Rejuvenation/drainage of courtsPurchase shed,"€5,000"
Cork,Dromtarriffe GAA Club,Pitch Drainage & Hurling Wall,"€58,000"
Cork,Dungourney GAA Club,Gymnasium & Associated Works,"€98,000"
Cork,Dunmanway Boxing Club,Increasing Capacity of Dunmanway Boxing Club,"€8,500"
Cork,Dunmanway Community Sports Hall Ltd,Urgent roof repairs.,"€11,500"
Cork,DUNMANWAY RUGBY FOOOTBALL CLUB,Dunmanway Rugby Club Building works 2017,"€14,000"
Cork,Eire Og Hurling & Football Club,PITCH MAINTENANCE EQUIPMENT,"€3,000"
Cork,Erins Own GAA Club,Drainage of main pitch,"€71,500"
Cork,Everton Football Club,Purchase grass cutting equipment.,"€7,000"
Cork,Eyeries Community Development Ltd,purchase of ride on mower,"€1,500"
Cork,fanahan Mcsweeney Athletic Club,Sports equipment for Fanahan McSweeney AC.,"€2,000"
Cork,Farranree Taekwondo Club,Gym equipment,"€4,000"
Cork,Fermoy golf Club,Machinery / Buggy Investment,"€21,000"
Cork,Fermoy Rowing Club,Upgrade of current aging fleet of boats.,"€40,500"
Cork,Fr. Matthews Basketball Club,Equipment for Fr Matthews Basketball Club,"€59,000"
Cork,Freemount Community Development,"Refurbishment of Sports Hall, New Sports Equipment","€23,000"
Cork,Freemount GAA Club,"Gym equipment, pitch mower and juvenile goalposts","€12,500"
Cork,Gabriel Rangers GAA Club,New Clubhouse,"€96,000"
Cork,Glandore Harbour Yacht Club,New clubhouse roof & canopy over adjacent yard,"€16,000"
Cork,"Glanmire & District Salmon & Trout Anglers
Association",Special purpose wheelchair accessible angling boat,"€11,500"
Cork,Gleann An Phreacan Teoranta,Refurbish Glenville Handball/Squash Facility,"€47,000"
Cork,Glen Boxing Club,Replace old equipment,"€16,000"
Cork,Glengarriff Sportsfield Committee,Develop a 2.5m wide walking / jogging track.,"€42,000"
Cork,Grenagh GAA Club,Build Dressing Rooms at Grenaghs only GAA grounds,"€96,000"
Cork,Grenagh Parish Field Ltd,Hurling/Handball/Practice Wall,"€17,450"
Cork,Highfield RFC,Multipurpose fitness training room (Gym).,"€59,500"
Cork,Ilen Rovers GAA Club,Drainage and Surface works to pitch in Rath,"€64,000"
Cork,"Inc Church of Ireland Cork Young Mens
Assoc Sports Club",Repair/Replacement of playing surfaces & surrounds,"€35,000"
Cork,Inch National School,Slí na Slainte;Inch Community Initiative,"€20,000"
Cork,Innishvilla AFC,Installation of synthetic pitch at Innishvilla AFC,"€100,000"
Cork,John A.Wood Limited Sports & Social Club,Full sized floodlit All Weather Soccer pitch,"€142,000"
Cork,Kanturk AFC Limited,Development of Practice Area and Juvenile Pitch.,"€24,500"
Cork,Kanturk Boxing Club,New boxing club in Kanturk,"€7,000"
Cork,Kanturk GAA Club,Main Pitch Drainage,"€67,500"
Cork,Kanturk RFC,Kanturk RFC Floodlights,"€75,000"
Cork,Kanturk Tennis Club,Resurfacing of tennis courts and new net posts,"€18,000"
Cork,Kilbarry Salmon & Trout Anglers Association,Angling equipment (Boats) Kilbarry Fishery,"€4,000"
Cork,Kilbrin Community Council,Roofing of Sports Hall,"€16,500"
Cork,Kilbrin GAA Club,"Astro Turf, Hurling Wall & upgrade of facilities","€59,500"
Cork,Kilcully Campsite,Installation of Shower Facilities,€800
Cork,Kildorrery GAA Club,Kildorrery GAA Equipment and refurbishment Grant,"€57,000"
Cork,Killeagh GAA,Security Rail and Mesh Infill,"€12,000"
Cork,Kilworth Celtic F.C Ltd,Construction of Clubhouse,"€78,500"
Cork,Kinsale GAA Club,Extension & Alterations to existing Clubhouse,"€95,000"
Cork,Kinsale Yacht Club Company Ltd,Rigid Inflatable boat (RIB) for training & safety,"€8,000"
Cork,Knocknagree GAA,Gym Equipment,"€10,000"
Cork,KRD Community Association,Sáile Sports and Community Centre,"€11,000"
Cork,Lee Rowing Club,Rowing Boats and Club Refurbishment,"€45,000"
Cork,Leevale Athletic Club,Leevale AC - High Performance Centre,"€105,000"
Cork,Lehanmore Co-operative Society,"Climbing wall,indoor games area","€41,500"
Cork,Liscarroll Handball Club,Liscarroll Handball Club – Development 2017,"€68,920"
Cork,Lisgoold GAA Club,Lisgoold GAA Club-Astroturf Pitch+Pitch Drainage,"€73,000"
Cork,Little Island Scout Group,Kayaking and Hill walking advancement,"€8,000"
Cork,Lombardstown Tennis Club,Club House for existing courts,"€26,000"
Cork,Lyre Rovers Soccer Club,Lyre Rovers F.C. Pitch Development,"€69,000"
Cork,Macroom Golf Club,Purchase of a mower,"€11,500"
Cork,"Mallow Golf Club (incorporating Mallow
Tennis Club)",Mallow Golf Club essential infrastructure works,"€70,000"
Cork,Mallow RFC,Mallow RFC Gym/Sports Hall Refurbishment,"€1,000"
Cork,Mallow Search and Rescue,Upgrade of boat and search & rescue equipment,"€32,000"
Cork,Mallow Triathlon Club,Mallow Tri Club Training & Events Equipment,"€3,000"
Cork,Mayfield Hurling & Football Club,Mayfield GAA Club Floodlighting Project,"€94,000"
Cork,Mayfield United AFC,Mayfield United AFC Facilities Upgrade Works,"€96,500"
Cork,Meelin GAA Club,Meelin GAA Club-Pitch Drainage/Artificial,"€22,000"
Cork,"Midleton Community & Recreational Center
Development Company Ltdg",Replacement of existing sports hall floor,"€60,000"
Cork,Milford GAA Club,Floodlit Synthetic Area to include existing wall,"€22,000"
Cork,Mitchelstown GAA,New Floodlights_To Main Pitch & Training Area,"€120,000"
Cork,Mitchelstown Lawn Tennis Club,Development Plan Phase 1 - External Facilities,"€47,000"
Cork,Monkstown Bay Sailing Club,MBSC changing rooms renovation & engine upgrade,"€8,000"
Cork,Monkstown Golf Club,Purchase of Machinery,"€23,000"
Cork,Monkstown Tennis Club,Court and lights upgrade,"€76,000"
Cork,"MourneAbbey Residents Trust Community
Council",Upgrading of Pitch in Mourneabbey Sports Complex,"€5,500"
Cork,Muintir Bhaire GAA Club,"Dressing Rooms, Showers & Toilets","€81,000"
Cork,Myross Rowing Club Ltd,Boat Shed,"€14,000"
Cork,Na Piarsaigh H&F Club,Sports Equipment,"€21,500"
Cork,Naomh Muire C.L.G. (St. Mary's GAA),St. Mary's GAA Hurling Wall,"€16,000"
Cork,Nemo Rangers Hurling & Football Club,Redevelopment of floodlit natural grass pitch,"€33,500"
Cork,Newcestown Hurling and Football Club,All weather Training Area & Hurling Wall,"€41,000"
Cork,O'Donovan Rossa GAA Club,Natural pitch development,"€61,000"
Cork,Olympic Karate Club,Roof repairs & replacement at Olympic Karate Club,"€54,000"
Cork,Passage United Sports & Social Club Ltd,Purchase of Ride-on Lawnmower,"€1,500"
Cork,Pearse Celtic FC,Providing the use of Defibrillators.,"€1,800"
Cork,Phoenix Kayak Club,Safety Equipment and Training Gear,"€5,500"
Cork,Rathcoole Rovers Football Club,Rathcoole Rovers Pitch Improvements,"€9,000"
Cork,Rathcormac Community Council,Rathcormac Walking/Jogging Track,"€61,500"
Cork,Rathluirc GAA Club,Levelling of pitch & new drainage system,"€63,000"
Cork,Ringmahon Rangers AFC,Ringmahon Rangers Pitch & Grounds Upgrade Works,"€6,000"
Cork,River Valley Clay Target Club,Equipment for the betterment of clay target sports,"€28,500"
Cork,Rocklodge Pitch & Putt Club,New Equipment Shed,"€16,500"
Cork,Rockmount Football Club,Refurbishment of Clubhouse/ Purchase of new Mower,"€34,500"
Cork,Rosscarbery Rowing Club,Purchase of double scull boat and oars,"€6,500"
Cork,Royal Cork Yacht Club,Support Craft for teaching water sports,"€13,000"
Cork,Rushbrooke Lawn Tennis & Croquet Club,Rushbrooke Tennis Club - Court Improvement Works,"€76,000"
Cork,Rushbrooke Rowing Club,"New one design yawl boat, rudder and oars","€6,500"
Cork,Rylane Boxing Club,Replacing damaged and old equipment,"€9,000"
Cork,Sarsfields Hurling Club,Resurfacing and Fence Repairs of Astro Turf Pitch,"€67,000"
Cork,Schull Harbour sailing Club Ltd,SHSC RIB - Dinghy Sailing & Cruiser Crewing,"€18,000"
Cork,Shandon Boat Club,"Boats, oars and rowing machines for adult rowing","€30,500"
Cork,Skibbereen & West Carbery Golf Club,Practice Facilities and Permanent Toilets,"€7,500"
Cork,Skibbereen Dynamos FC Ltd,Pitch Development & Floodlight Infrastructure Work,"€75,000"
Cork,Skibbereen RFC,Skibbereen RFC youth and girls project,"€59,500"
Cork,Skibbereen Rowing Club,"Upgrade Rowing Boat Fleet, Oars and Equipment","€59,000"
Cork,Skibbereen Sports Centre,Gymnastic & Fitness equipment,"€13,000"
Cork,St Annes Pitch and Putt Club,New Course Machinery Plus Bathroom Improvements,"€6,000"
Cork,St Colums Camogie Club,Sports Equipment,"€3,000"
Cork,St Finbarrs Hurling & Football Club,"Upgrading gym, hurling alley and boundary fence","€100,000"
Cork,St Johns GAA Club,Addition of a Lawnmower for St. Johns GAA club,"€5,000"
Cork,St Mary's AFC,Mower/ Security Fencing/ Goal posts/ Ball Stops,"€21,000"
Cork,St Michael's GFC,Purchase of a new lawnmower to maintain pitches,"€7,000"
Cork,St Oliver Plunketts GAA Club,Public Amenity Pathway with Lighting,"€32,000"
Cork,Sundays Well Swimming Club,Competition starting blocks,"€12,500"
Cork,Temple United FC,LAWN MOWER & STORAGE CONTAINER FOR LAWNMOWER,"€5,500"
Cork,The Glen Resource & Sports Centre,Replace Rebound Boards with Galvanised Mesh,"€6,500"
Cork,Togher Athletic Club,Non Personal Sports Equipment,"€11,500"
Cork,Togher Boxing Club,Provision of gym and boxing equipment & heaters,"€15,000"
Cork,Togher Community Association Limited,Construction of Lawn Bowls Pavillion,"€26,000"
Cork,Tramore Athletic Football Club,Install Astro Turf at Tramore Athletic FC Grounds,"€100,000"
Cork,Uibh Laoire GAA,Iveleary Training Pitch Development & Buy a Mower,"€29,500"
Cork,Valley Rovers GAA Club,Sand based natural grass sports pitch & equipment,"€115,000"
Cork,"Whitechurch & Waterloo Community
Association Ltd",Purchase a tractor and mower,"€12,000"
Cork,Whitechurch GAA Club,Pitch Upgrade and Sanding,"€57,000"
Cork,Whitegate Yawl Rowing & Swimming Club,Purchase of Training Equipment,"€4,000"
Cork,Youghal Athletic Club,Phase One Tower Park Development,"€18,000"
Cork,Youghal Cycling Club,Develop Junior/Youth Section in our club,"€2,500"
Cork,Youghal Lawn Tennis Club Ltd,"Floodlighting, carpet rejuvenation & equipment","€10,000"
Cork,Youghal RFC,Application for funding for gym equipment.,"€9,000"
Cork,Youghal Surf Lifesaving Club,Youghal Surf Lifesaving Club Safety Boat,"€9,000"
Donegal,Aislann Chill Chartha Teo,Extension to sports/community centre,"€70,000"
Donegal,Aodh Ruadh,Aodh Ruadh - Replacement Playing surface,"€96,000"
Donegal,Ballybofey United Football Club,Ballybofey United - New Club Playing Facility,"€36,000"
